Reader,Case number,Modality (Color scale),Confidence score
Med1,54,Hot,2
Med1,55,Hot,55
Med1,1,Rainbow,10
Med1,2,Rainbow,86
Med1,3,Rainbow,55
Med1,4,Rainbow,43
Med1,5,Rainbow,43
Med1,6,Rainbow,54
Med1,7,Rainbow,55
Med1,8,Rainbow,44
Med1,9,Rainbow,82
Med1,10,Rainbow,54
Med1,11,Rainbow,0
Med1,12,Rainbow,69
Med1,13,Rainbow,13
Med1,14,Rainbow,42
Med1,15,Rainbow,54
Med1,16,Rainbow,20
Med1,17,Rainbow,10
Med1,18,Rainbow,39
Med1,19,Rainbow,17
Med1,20,Rainbow,11
Med1,21,Rainbow,35
Med1,22,Rainbow,44
Med1,23,Rainbow,5
Med1,24,Rainbow,6
Med1,25,Rainbow,32
Med1,26,Rainbow,14
Med1,27,Rainbow,42
Med1,28,Rainbow,20
Med1,29,Rainbow,10
Med1,30,Rainbow,0
Med1,31,Rainbow,13
Med1,32,Rainbow,21
Med1,33,Rainbow,0
Med1,34,Rainbow,0
Med1,35,Rainbow,21
Med1,36,Rainbow,53
Med1,37,Rainbow,24
Med1,38,Rainbow,33
Med1,39,Rainbow,40
Med1,40,Rainbow,23
Med1,41,Rainbow,21
Med1,42,Rainbow,54
Med1,43,Rainbow,0
Med1,44,Rainbow,4
Med1,45,Rainbow,0
Med1,46,Rainbow,42
Med1,47,Rainbow,15
Med1,48,Rainbow,30
Med1,49,Rainbow,15
Med1,50,Rainbow,37
Med1,51,Rainbow,12
Med1,52,Rainbow,32
Med1,53,Rainbow,11
Med1,54,Rainbow,0
Med1,55,Rainbow,32
Low1,1,Grayscale,35
Low1,2,Grayscale,100
Low1,3,Grayscale,65
Low1,4,Grayscale,44
Low1,5,Grayscale,76
Low1,6,Grayscale,100
Low1,7,Grayscale,43
Low1,8,Grayscale,54
Low1,9,Grayscale,65
Low1,10,Grayscale,54
Low1,11,Grayscale,44
Low1,12,Grayscale,54
Low1,13,Grayscale,55
Low1,14,Grayscale,54
Low1,15,Grayscale,55
Low1,16,Grayscale,32
Low1,17,Grayscale,54
Low1,18,Grayscale,43
Low1,19,Grayscale,25
Low1,20,Grayscale,32
Low1,21,Grayscale,43
Low1,22,Grayscale,76
Low1,23,Grayscale,45
Low1,24,Grayscale,21
Low1,25,Grayscale,53
Low1,26,Grayscale,43
Low1,27,Grayscale,54
Low1,28,Grayscale,21
Low1,29,Grayscale,21
Low1,30,Grayscale,10
Low1,31,Grayscale,55
Low1,32,Grayscale,53
Low1,33,Grayscale,10
Low1,34,Grayscale,20
Low1,35,Grayscale,21
Low1,36,Grayscale,35
Low1,37,Grayscale,31
Low1,38,Grayscale,54
Low1,39,Grayscale,54
Low1,40,Grayscale,42
Low1,41,Grayscale,11
Low1,42,Grayscale,21
Low1,43,Grayscale,25
Low1,44,Grayscale,55
Low1,45,Grayscale,11
Low1,46,Grayscale,21
Low1,47,Grayscale,21
Low1,48,Grayscale,33
Low1,49,Grayscale,65
Low1,50,Grayscale,21
Low1,51,Grayscale,54
Low1,52,Grayscale,54
Low1,53,Grayscale,21
Low1,54,Grayscale,21
Low1,55,Grayscale,55
Low1,1,Hot,65
Low1,2,Hot,100
Low1,3,Hot,76
Low1,4,Hot,54
Low1,5,Hot,88
Low1,6,Hot,100
Low1,7,Hot,65
Low1,8,Hot,50
Low1,9,Hot,88
Low1,10,Hot,42
Low1,11,Hot,87
Low1,12,Hot,75
Low1,13,Hot,42
Low1,14,Hot,65
Low1,15,Hot,54
Low1,16,Hot,54
Low1,17,Hot,21
Low1,18,Hot,44
Low1,19,Hot,53
Low1,20,Hot,31
Low1,21,Hot,54
Low1,22,Hot,100
Low1,23,Hot,32
Low1,24,Hot,33
Low1,25,Hot,54
Low1,26,Hot,22
Low1,27,Hot,54
Low1,28,Hot,10
Low1,29,Hot,32
Low1,30,Hot,10
Low1,31,Hot,21
Low1,32,Hot,76
Low1,33,Hot,22
Low1,34,Hot,65
Low1,35,Hot,21
Low1,36,Hot,20
Low1,37,Hot,21
Low1,38,Hot,64
Low1,39,Hot,54
Low1,40,Hot,76
Low1,41,Hot,54
Low1,42,Hot,22
Low1,43,Hot,9
Low1,44,Hot,54
Low1,45,Hot,10
Low1,46,Hot,64
Low1,47,Hot,21
Low1,48,Hot,64
Low1,49,Hot,54
Low1,50,Hot,43
Low1,51,Hot,54
Low1,52,Hot,32
Low1,53,Hot,50
Low1,54,Hot,10
Low1,55,Hot,76
Low1,1,Rainbow,33
Low1,2,Rainbow,100
Low1,3,Rainbow,76
Low1,4,Rainbow,54
Low1,5,Rainbow,100
Low1,6,Rainbow,100
Low1,7,Rainbow,88
Low1,8,Rainbow,53
Low1,9,Rainbow,65
Low1,10,Rainbow,54
Low1,11,Rainbow,87
Low1,12,Rainbow,76
Low1,13,Rainbow,32
Low1,14,Rainbow,76
Low1,15,Rainbow,88
Low1,16,Rainbow,76
Low1,17,Rainbow,54
Low1,18,Rainbow,32
Low1,19,Rainbow,22
Low1,20,Rainbow,55
Low1,21,Rainbow,54
Low1,22,Rainbow,100
Low1,23,Rainbow,54
Low1,24,Rainbow,22
Low1,25,Rainbow,54
Low1,26,Rainbow,21
Low1,27,Rainbow,54
Low1,28,Rainbow,31
Low1,29,Rainbow,32
Low1,30,Rainbow,21
Low1,31,Rainbow,22
Low1,32,Rainbow,32
Low1,33,Rainbow,11
Low1,34,Rainbow,33
Low1,35,Rainbow,22
Low1,36,Rainbow,32
Low1,37,Rainbow,32
Low1,38,Rainbow,21
Low1,39,Rainbow,53
Low1,40,Rainbow,54
Low1,41,Rainbow,15
Low1,42,Rainbow,43
Low1,43,Rainbow,20
Low1,44,Rainbow,54
Low1,45,Rainbow,11
Low1,46,Rainbow,76
Low1,47,Rainbow,32
Low1,48,Rainbow,54
Low1,49,Rainbow,54
Low1,50,Rainbow,53
Low1,51,Rainbow,54
Low1,52,Rainbow,65
Low1,53,Rainbow,32
Low1,54,Rainbow,22
Low1,55,Rainbow,63
High1,1,HotGSDF,55
High1,2,HotGSDF,98
High1,3,HotGSDF,64
High1,4,HotGSDF,48
High1,5,HotGSDF,89
High1,6,HotGSDF,83
High1,7,HotGSDF,65
High1,8,HotGSDF,35
High1,9,HotGSDF,78
High1,10,HotGSDF,58
High1,11,HotGSDF,65
High1,12,HotGSDF,96
High1,13,HotGSDF,54
High1,14,HotGSDF,60
High1,15,HotGSDF,56
High1,16,HotGSDF,55
High1,17,HotGSDF,45
High1,18,HotGSDF,53
High1,19,HotGSDF,52
High1,20,HotGSDF,30
High1,21,HotGSDF,36
High1,22,HotGSDF,96
High1,23,HotGSDF,59
High1,24,HotGSDF,32
High1,25,HotGSDF,56
High1,26,HotGSDF,32
High1,27,HotGSDF,29
High1,28,HotGSDF,47
High1,29,HotGSDF,54
High1,30,HotGSDF,35
High1,31,HotGSDF,31
High1,32,HotGSDF,78
High1,33,HotGSDF,36
High1,34,HotGSDF,65
High1,35,HotGSDF,26
High1,36,HotGSDF,67
High1,37,HotGSDF,34
High1,38,HotGSDF,70
High1,39,HotGSDF,53
High1,40,HotGSDF,69
High1,41,HotGSDF,32
High1,42,HotGSDF,25
High1,43,HotGSDF,31
High1,44,HotGSDF,45
High1,45,HotGSDF,56
High1,46,HotGSDF,57
High1,47,HotGSDF,30
High1,48,HotGSDF,43
High1,49,HotGSDF,29
High1,50,HotGSDF,68
High1,51,HotGSDF,56
High1,52,HotGSDF,35
High1,53,HotGSDF,52
High1,54,HotGSDF,27
High1,55,HotGSDF,78
High1,1,RainbowGSDF,56
High1,2,RainbowGSDF,95
High1,3,RainbowGSDF,81
High1,4,RainbowGSDF,61
High1,5,RainbowGSDF,94
High1,6,RainbowGSDF,91
High1,7,RainbowGSDF,81
High1,8,RainbowGSDF,60
High1,9,RainbowGSDF,77
High1,10,RainbowGSDF,63
High1,11,RainbowGSDF,72
High1,12,RainbowGSDF,88
High1,13,RainbowGSDF,57
High1,14,RainbowGSDF,68
High1,15,RainbowGSDF,65
High1,16,RainbowGSDF,57
High1,17,RainbowGSDF,46
High1,18,RainbowGSDF,60
High1,19,RainbowGSDF,54
High1,20,RainbowGSDF,34
High1,21,RainbowGSDF,52
High1,22,RainbowGSDF,94
High1,23,RainbowGSDF,54
High1,24,RainbowGSDF,28
High1,25,RainbowGSDF,59
High1,26,RainbowGSDF,30
High1,27,RainbowGSDF,40
High1,28,RainbowGSDF,55
High1,29,RainbowGSDF,40
High1,30,RainbowGSDF,31
High1,31,RainbowGSDF,47
High1,32,RainbowGSDF,69
High1,33,RainbowGSDF,32
High1,34,RainbowGSDF,81
High1,35,RainbowGSDF,36
High1,36,RainbowGSDF,57
High1,37,RainbowGSDF,37
High1,38,RainbowGSDF,58
High1,39,RainbowGSDF,58
High1,40,RainbowGSDF,77
High1,41,RainbowGSDF,38
High1,42,RainbowGSDF,42
High1,43,RainbowGSDF,33
High1,44,RainbowGSDF,57
High1,45,RainbowGSDF,65
High1,46,RainbowGSDF,65
High1,47,RainbowGSDF,42
High1,48,RainbowGSDF,41
High1,49,RainbowGSDF,48
High1,50,RainbowGSDF,61
High1,51,RainbowGSDF,61
High1,52,RainbowGSDF,52
High1,53,RainbowGSDF,55
High1,54,RainbowGSDF,34
High1,55,RainbowGSDF,66
High2,56,HotGSDF,100
High2,57,HotGSDF,90
High2,58,HotGSDF,0
High2,59,HotGSDF,100
High2,60,HotGSDF,100
High2,61,HotGSDF,0
High2,62,HotGSDF,0
High2,63,HotGSDF,0
High2,64,HotGSDF,3
High2,65,HotGSDF,20
High2,66,HotGSDF,100
High2,67,HotGSDF,100
High2,68,HotGSDF,100
High2,69,HotGSDF,50
High2,70,HotGSDF,0
High2,71,HotGSDF,70
High2,72,HotGSDF,100
High2,73,HotGSDF,66
High2,74,HotGSDF,0
High2,75,HotGSDF,0
High2,76,HotGSDF,65
High2,77,HotGSDF,90
High2,78,HotGSDF,0
High2,79,HotGSDF,10
High2,80,HotGSDF,0
High2,81,HotGSDF,0
High2,82,HotGSDF,0
High2,83,HotGSDF,10
High2,84,HotGSDF,0
High2,85,HotGSDF,0
High2,86,HotGSDF,0
High2,87,HotGSDF,0
High2,88,HotGSDF,0
High2,89,HotGSDF,10
High2,90,HotGSDF,0
High2,91,HotGSDF,40
High2,92,HotGSDF,20
High2,93,HotGSDF,0
High2,94,HotGSDF,0
High2,95,HotGSDF,0
High2,96,HotGSDF,0
High2,97,HotGSDF,50
High2,98,HotGSDF,0
High2,99,HotGSDF,0
High2,100,HotGSDF,0
High2,101,HotGSDF,10
High2,102,HotGSDF,0
High2,103,HotGSDF,0
High2,104,HotGSDF,0
High2,105,HotGSDF,10
High2,106,HotGSDF,0
High2,107,HotGSDF,20
High2,108,HotGSDF,0
High2,109,HotGSDF,80
High2,110,HotGSDF,0
High2,56,RainbowGSDF,100
High2,57,RainbowGSDF,90
High2,58,RainbowGSDF,70
High2,59,RainbowGSDF,100
High2,60,RainbowGSDF,80
High2,61,RainbowGSDF,60
High2,62,RainbowGSDF,10
High2,63,RainbowGSDF,10
High2,64,RainbowGSDF,10
High2,65,RainbowGSDF,50
High2,66,RainbowGSDF,100
High2,67,RainbowGSDF,100
High2,68,RainbowGSDF,100
High2,69,RainbowGSDF,80
High2,70,RainbowGSDF,0
High2,71,RainbowGSDF,100
High2,72,RainbowGSDF,100
High2,73,RainbowGSDF,50
High2,74,RainbowGSDF,10
High2,75,RainbowGSDF,30
High2,76,RainbowGSDF,90
High2,77,RainbowGSDF,100
High2,78,RainbowGSDF,0
High2,79,RainbowGSDF,20
High2,80,RainbowGSDF,0
High2,81,RainbowGSDF,0
High2,82,RainbowGSDF,0
High2,83,RainbowGSDF,0
High2,84,RainbowGSDF,10
High2,85,RainbowGSDF,0
High2,86,RainbowGSDF,10
High2,87,RainbowGSDF,0
High2,88,RainbowGSDF,20
High2,89,RainbowGSDF,70
High2,90,RainbowGSDF,10
High2,91,RainbowGSDF,0
High2,92,RainbowGSDF,70
High2,93,RainbowGSDF,0
High2,94,RainbowGSDF,0
High2,95,RainbowGSDF,0
High2,96,RainbowGSDF,0
High2,97,RainbowGSDF,50
High2,98,RainbowGSDF,0
High2,99,RainbowGSDF,10
High2,100,RainbowGSDF,0
High2,101,RainbowGSDF,30
High2,102,RainbowGSDF,0
High2,103,RainbowGSDF,0
High2,104,RainbowGSDF,0
High2,105,RainbowGSDF,0
High2,106,RainbowGSDF,0
High2,107,RainbowGSDF,0
High2,108,RainbowGSDF,0
High2,109,RainbowGSDF,90
High2,110,RainbowGSDF,0
High2,56,Grayscale,90
High2,57,Grayscale,100
High2,58,Grayscale,70
High2,59,Grayscale,100
High2,60,Grayscale,90
High2,61,Grayscale,70
High2,62,Grayscale,40
High2,63,Grayscale,10
High2,64,Grayscale,10
High2,65,Grayscale,20
High2,66,Grayscale,90
High2,67,Grayscale,100
High2,68,Grayscale,100
High2,69,Grayscale,70
High2,70,Grayscale,50
High2,71,Grayscale,70
High2,72,Grayscale,100
High2,73,Grayscale,50
High2,74,Grayscale,60
High2,75,Grayscale,10
High2,76,Grayscale,70
High2,77,Grayscale,80
High2,78,Grayscale,50
High2,79,Grayscale,0
High2,80,Grayscale,0
High2,81,Grayscale,0
High2,82,Grayscale,10
High2,83,Grayscale,10
High2,84,Grayscale,0
High2,85,Grayscale,5
High2,86,Grayscale,0
High2,87,Grayscale,0
High2,88,Grayscale,0
High2,89,Grayscale,50
High2,90,Grayscale,10
High2,91,Grayscale,10
High2,92,Grayscale,20
High2,93,Grayscale,50
High2,94,Grayscale,0
High2,95,Grayscale,0
High2,96,Grayscale,10
High2,97,Grayscale,10
High2,98,Grayscale,0
High2,99,Grayscale,20
High2,100,Grayscale,5
High2,101,Grayscale,10
High2,102,Grayscale,0
High2,103,Grayscale,0
High2,104,Grayscale,50
High2,105,Grayscale,10
High2,106,Grayscale,0
High2,107,Grayscale,20
High2,108,Grayscale,0
High2,109,Grayscale,50
High2,110,Grayscale,0
High2,56,Hot,100
High2,57,Hot,80
High2,58,Hot,0
High2,59,Hot,100
High2,60,Hot,100
High2,61,Hot,0
High2,62,Hot,0
High2,63,Hot,0
High2,64,Hot,0
High2,65,Hot,10
High2,66,Hot,100
High2,67,Hot,100
High2,68,Hot,80
High2,69,Hot,80
High2,70,Hot,70
High2,71,Hot,90
High2,72,Hot,100
High2,73,Hot,90
High2,74,Hot,0
High2,75,Hot,10
High2,76,Hot,80
High2,77,Hot,100
High2,78,Hot,80
High2,79,Hot,0
High2,80,Hot,20
High2,81,Hot,0
High2,82,Hot,20
High2,83,Hot,20
High2,84,Hot,0
High2,85,Hot,0
High2,86,Hot,20
High2,87,Hot,0
High2,88,Hot,0
High2,89,Hot,0
High2,90,Hot,10
High2,91,Hot,80
High2,92,Hot,80
High2,93,Hot,0
High2,94,Hot,0
High2,95,Hot,0
High2,96,Hot,10
High2,97,Hot,70
High2,98,Hot,0
High2,99,Hot,70
High2,100,Hot,0
High2,101,Hot,0
High2,102,Hot,0
High2,103,Hot,0
High2,104,Hot,90
High2,105,Hot,20
High2,106,Hot,0
High2,107,Hot,10
High2,108,Hot,20
High2,109,Hot,60
High2,110,Hot,0
High2,56,Rainbow,100
